This file was created by CMPT_ME_BEME_RETS using the 200508 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

        Mkt-RF     SMB     HML      RF
196211   10.81    2.62    0.89    0.20
196212    0.96   -3.80    0.22    0.23
196301    4.93    3.09    2.32    0.25
196302   -2.42    0.40    2.20    0.23
196303    3.06   -2.56    2.04    0.23
196304    4.49   -1.37    1.01    0.25
196305    1.77    1.13    2.62    0.24
196306   -2.03   -0.23    0.85    0.23
196307   -0.44   -0.50   -0.95    0.27
196308    5.02   -1.06    1.74    0.25
196309   -1.46   -0.31    0.21    0.27
196310    2.48   -0.63   -0.14    0.29
196311   -0.83   -1.13    1.59    0.27
196312    1.88   -2.01   -0.01    0.29
196401    2.28   -0.22    1.48    0.30
196402    1.46    0.07    2.82    0.26
196403    1.45    0.88    3.31    0.31
196404    0.17   -1.39   -0.51    0.29
196405    1.48   -1.00    1.78    0.26
196406    1.21   -0.30    0.72    0.30
196407    1.71    0.16    0.78    0.30
196408   -1.41   -0.03    0.24    0.28
196409    2.77   -0.74    1.81    0.28
196410    0.60    0.46    1.00    0.29
196411    0.02    0.58   -1.91    0.29
196412    0.06   -0.24   -2.54    0.31
196501    3.58    2.54    0.41    0.28
196502    0.39    3.26    0.44    0.30
196503   -1.33    1.75    1.11    0.36
196504    3.06    1.19    0.66    0.31
196505   -0.74    0.05   -1.62    0.31
196506   -5.54   -4.11    0.34    0.35
196507    1.37    0.85    2.25    0.31
196508    2.76    2.86   -1.06    0.33
196509    2.89    0.60   -0.14    0.31
196510    2.62    2.44    1.67    0.31
196511   -0.04    4.68    0.23    0.35
196512    1.02    2.02    2.01    0.33
196601    0.83    3.84    3.56    0.38
196602   -1.21    4.46    0.39    0.35
196603   -2.47    0.97   -2.01    0.38
196604    2.14    3.33   -0.40    0.34
196605   -5.66   -4.54   -1.63    0.41
196606   -1.41    1.08    0.54    0.38
196607   -1.64   -0.42    1.07    0.35
196608   -7.95   -3.31    0.50    0.41
196609   -1.10   -1.08    0.45    0.40
196610    3.78   -6.59    2.80    0.45
196611    1.35    4.40   -4.65    0.40
196612    0.22    1.77   -1.21    0.40
196701    8.12    8.45    1.78    0.43
196702    0.73    3.34   -2.26    0.36
196703    3.95    1.76    0.07    0.39
196704    3.84    0.55   -2.62    0.32
196705   -4.26    2.04    0.85    0.33
196706    2.42    5.94    0.98    0.27
196707    4.60    3.07    2.61    0.32
196708   -0.94    0.47    1.49    0.31
196709    3.11    3.04   -2.40    0.32
196710   -3.13    1.47   -3.38    0.39
196711    0.43    0.18   -1.71    0.36
196712    3.04    5.76   -0.45    0.33
196801   -4.03    3.86    4.66    0.40
196802   -3.75   -2.86    1.20    0.39
196803    0.13   -1.29   -0.53    0.38
196804    8.98    5.75   -1.20    0.43
196805    2.25    6.35    0.85    0.45
196806    0.72   -0.20    0.76    0.43
196807   -2.68   -1.34    5.46    0.48
196808    1.38    2.34    1.02    0.42
196809    4.02    2.78    0.12    0.43
196810    0.46   -0.47    2.90    0.44
196811    5.43    2.32   -0.89    0.42
196812   -3.82    3.40   -0.04    0.43
196901   -1.20   -0.82    1.61    0.53
196902   -5.82   -3.88    0.90    0.46
196903    2.59   -0.30   -0.47    0.46
196904    1.52   -0.84    0.12    0.53
196905    0.02   -0.33    0.76    0.48
196906   -7.25   -5.31   -1.19    0.51
196907   -7.05   -3.26    1.28    0.53
196908    4.65    0.84   -3.87    0.50
196909   -2.88    1.08   -3.38    0.62
196910    4.96    3.72   -3.33    0.60
196911   -3.74   -2.61   -1.18    0.52
196912   -2.61   -3.69   -3.02    0.64
197001   -7.93    2.94    2.99    0.60
197002    5.05   -2.33    3.97    0.62
197003   -1.04   -2.37    4.22    0.57
197004  -11.03   -6.10    6.24    0.50
197005   -6.96   -4.45    3.43    0.53
197006   -5.69   -2.18    0.76    0.58
197007    6.90   -0.55    1.02    0.52
197008    4.47    1.51    1.12    0.53
197009    4.21    8.71   -5.53    0.54
197010   -2.28   -4.16    0.24    0.46
197011    4.58   -4.02    1.72    0.46
197012    5.65    2.88    0.93    0.42
197101    4.82    7.44    1.33    0.38
197102    1.36    1.84   -1.35    0.33
197103    4.18    2.62   -3.92    0.30
197104    3.05   -0.42    0.76    0.28
197105   -3.93   -1.02   -1.28    0.29
197106   -0.06   -1.40   -2.02    0.37
197107   -4.43   -1.49    0.00    0.40
197108    3.78   -0.04    2.55    0.47
197109   -0.87    0.47   -2.98    0.37
197110   -4.44   -1.68   -0.65    0.37
197111   -0.50   -2.81   -1.81    0.37
197112    8.76    3.34   -0.22    0.37
197201    2.55    6.03    2.19    0.29
197202    2.88    1.32   -2.84    0.25
197203    0.60   -0.24   -1.74    0.27
197204    0.26    0.08    0.32    0.29
197205    1.34   -2.67   -2.83    0.30
197206   -2.38    0.24   -2.23    0.29
197207   -0.74   -2.80    0.55    0.31
197208    3.31   -4.08    4.60    0.29
197209   -1.11   -2.65    0.44    0.34
197210    0.47   -2.67    1.34    0.40
197211    4.61   -1.17    4.80    0.37
197212    0.75   -1.93   -2.25    0.37
197301   -3.20   -3.54    2.67    0.44
197302   -4.86   -3.93    1.66    0.41
197303   -1.25   -2.86    2.74    0.46
197304   -5.70   -3.97    5.54    0.52
197305   -2.96   -6.12    0.24    0.51
197306   -1.38   -2.94    1.42    0.51
197307    5.07    7.95   -5.39    0.64
197308   -3.67   -2.08    1.15    0.70
197309    4.72    2.92    2.17    0.68
197310   -0.68   -0.28    1.75    0.65
197311  -12.64   -7.70    3.98    0.56
197312    0.50   -5.28    3.99    0.64
197401   -0.19    9.66    5.97    0.63
197402   -0.35    0.00    2.45    0.58
197403   -2.90    2.42   -0.07    0.56
197404   -5.35   -0.76    0.97    0.75
197405   -4.95   -2.86   -1.94    0.75
197406   -2.89   -0.16    0.79    0.60
197407   -7.79    0.83    5.25    0.70
197408   -9.38   -0.70    2.65    0.60
197409  -11.78    0.34    5.47    0.81
197410   16.05   -3.41   -9.75    0.51
197411   -4.64   -1.24   -0.15    0.54
197412   -3.40   -4.79    0.10    0.70
197501   13.57   10.91    8.01    0.58
197502    5.41    0.17   -4.42    0.43
197503    2.61    3.70    2.53    0.41
197504    4.21   -0.59   -1.23    0.44
197505    5.07    3.73   -4.10    0.44
197506    4.74    0.76    1.37    0.41
197507   -6.52    2.71    1.65    0.48
197508   -2.84   -3.26   -0.89    0.48
197509   -4.33   -0.09    0.45    0.53
197510    5.03   -4.08    0.34    0.56
197511    2.71   -1.15    1.89    0.41
197512   -1.58   -0.78    1.71    0.48
197601   12.13    4.80    8.35    0.47
197602    0.39    7.01    5.71    0.34
197603    2.28   -1.30    0.02    0.40
197604   -1.46   -0.07   -0.08    0.42
197605   -1.31   -1.21   -1.39    0.37
197606    4.02   -1.34    0.73    0.43
197607   -1.09    0.27    1.70    0.47
197608   -0.56   -1.97    0.84    0.42
197609    2.01    0.00   -0.31    0.44
197610   -2.45    0.16   -0.19    0.41
197611    0.14    2.35    1.47    0.40
197612    5.76    2.93    2.28    0.40
197701   -3.99    4.75    4.25    0.36
197702   -1.93    1.05    0.50    0.35
197703   -1.30    1.03    1.09    0.38
197704    0.12   -0.09    3.41    0.38
197705   -1.45    1.23    0.88    0.37
197706    4.74    2.17   -0.67    0.40
197707   -1.70    2.11   -0.61    0.42
197708   -1.78    1.56   -2.74    0.44
197709   -0.27    1.41   -0.49    0.43
197710   -4.42    1.27    1.86    0.49
197711    4.04    3.67    0.31    0.50
197712    0.33    1.41   -0.33    0.49
197801   -6.01    2.27    3.27    0.49
197802   -1.39    3.60    0.83    0.46
197803    2.87    3.38    1.15    0.53
197804    7.74    0.28   -3.50    0.54
197805    1.81    4.57   -0.61    0.51
197806   -1.62    1.73    0.55    0.54
197807    5.11    0.30   -1.21    0.56
197808    3.69    5.02   -0.43    0.55
197809   -1.31   -0.45    1.88    0.62
197810  -11.78   -9.90    1.46    0.68
197811    2.68    3.03   -2.22    0.70
197812    0.99    1.29   -2.10    0.78
197901    4.18    3.46    2.16    0.77
197902   -3.41    0.45    1.19    0.73
197903    5.75    3.19   -0.61    0.81
197904    0.05    2.11    1.11    0.80
197905   -2.18    0.13    1.26    0.82
197906    3.88    1.09    1.40    0.81
197907    0.73    1.32    1.75    0.77
197908    5.70    1.97   -1.58    0.77
197909   -0.69   -0.29   -0.88    0.83
197910   -8.14   -3.29   -1.87    0.87
197911    5.37    2.75   -3.25    0.99
197912    1.87    4.08   -2.02    0.95
198001    5.76    1.61    1.76    0.80
198002   -0.79   -1.88    0.66    0.89
198003  -13.23   -6.54   -1.01    1.21
198004    3.97    0.92    1.17    1.26
198005    5.20    2.08    0.34    0.81
198006    3.16    1.70   -0.87    0.61
198007    6.41    4.30   -6.23    0.53
198008    1.72    3.93   -2.56    0.64
198009    2.20    0.92   -4.60    0.75
198010    1.06    2.52   -2.69    0.95
198011    9.53   -3.35   -8.41    0.96
198012   -4.75   -0.32    2.68    1.31
198101   -5.05    2.92    6.77    1.04
198102    0.48   -0.34    1.00    1.07
198103    3.41    3.49    0.64    1.21
198104   -2.21    4.40    2.26    1.08
198105    0.21    2.01   -0.43    1.15
198106   -2.37   -0.86    5.10    1.35
198107   -1.55   -2.15   -0.60    1.24
198108   -6.91   -1.94    4.74    1.28
198109   -7.62   -2.69    5.20    1.24
198110    4.81    2.17   -4.12    1.21
198111    3.52   -1.01    1.87    1.07
198112   -3.68    1.19    0.80    0.87
198201   -3.42   -1.21    3.15    0.80
198202   -6.03    0.50    6.03    0.92
198203   -1.99   -0.19    3.83    0.98
198204    3.20    1.50   -2.78    1.13
198205   -3.88    0.46    1.89    1.06
198206   -3.35   -0.33    1.42    0.96
198207   -3.10    0.92    0.17    1.05
198208   11.14   -4.13    1.15    0.76
198209    1.17    2.90    0.33    0.51
198210   11.27    2.33   -3.55    0.59
